DAY,JOB_ID,ASSIGNED_PRINTER,PRINTING_START,PRINTING_FINISH,ASSIGNED_POSTPROCESS_WORKER,POSTPROCESSING_START,POSTPROCESSING_FINISH,ASSIGNED_PACKAGING_WORKER,PACKAGING_START,PACKAGING_FINISH
1,0,0,0,2,0,2,4,0,4,4.266666666666667
1,3,1,3,4,0,4,6,0,6,6.466666666666667
1,1,4,1,5,1,5,6,1,6,6.333333333333333
1,2,4,5,6,0,6,8,0,8,8.416666666666666
1,4,4,6,7,1,7,8,1,8,8.366666666666667
1,5,1,5,9,0,9,11,0,11,11.4
1,7,0,7,10,1,10,11,1,11,11.366666666666667
1,6,4,7,11,2,11,13,0,13,13.183333333333334
1,8,4,11,13,0,13,14,0,14,14.333333333333334
1,9,4,13,14,1,14,16,0,16,16.216666666666665
1,12,2,13,15,0,15,16,1,16,16.216666666666665
1,13,3,14,15,2,15,16,2,16,16.283333333333335
1,14,4,14,16,3,16,18,0,18,18.433333333333334
1,11,1,13,17,0,17,18,1,18,18.2
1,15,4,16,17,1,17,18,2,18,18.4
1,16,1,17,21,0,21,23,0,23,23.333333333333332
1,19,4,20,22,1,22,23,1,23,23.3
1,18,2,20,23,2,23,25,0,25,25.483333333333334
1,21,4,22,26,0,26,27,0,27,27.333333333333332
2,24,1,24,26,1,26,28,0,28,28.466666666666665
2,22,4,26,27,2,27,28,1,28,28.45
2,23,4,27,30,0,30,31,0,31,31.216666666666665
2,27,1,28,32,0,32,34,0,34,34.28333333333333
2,25,4,30,32,1,32,34,1,34,34.2
2,31,0,29,33,2,33,35,0,35,35.35
2,28,1,32,34,3,34,35,1,35,35.416666666666664
2,26,4,32,36,0,36,38,0,38,38.3
2,29,1,34,36,1,36,38,1,38,38.46666666666667
2,30,4,36,37,2,37,38,2,38,38.45
2,32,1,36,38,0,38,39,0,39,39.25
2,35,4,37,40,0,40,41,0,41,41.35
2,33,1,38,40,1,40,41,1,41,41.36666666666667
2,34,1,40,43,0,43,44,0,44,44.36666666666667
2,36,4,40,44,1,44,45,0,45,45.3
2,39,1,43,46,0,46,48,0,48,48.21666666666667
2,42,1,46,47,1,47,49,0,49,49.38333333333333
2,37,4,44,48,2,48,49,1,49,49.266666666666666
3,38,4,48,49,0,49,51,0,51,51.46666666666667
2,47,1,47,51,1,51,52,0,52,52.266666666666666
3,48,2,48,51,2,51,53,0,53,53.21666666666667
3,49,0,48,52,0,52,54,0,54,54.36666666666667
3,40,4,49,52,3,52,53,1,53,53.25
3,41,4,52,55,0,55,56,0,56,56.43333333333333
3,43,4,55,56,1,56,58,0,58,58.43333333333333
3,44,4,56,58,0,58,59,0,59,59.2
3,45,4,58,60,0,60,62,0,62,62.25
3,46,4,60,63,0,63,65,0,65,65.28333333333333
